iter	Passed	Remaining
897	1236	140
898	1237	139
899	1239	137
900	1240	136
901	1241	134
902	1242	133
903	1243	132
904	1244	130
905	1245	129
906	1246	127
907	1248	126
908	1249	125
909	1250	123
910	1252	122
911	1253	120
912	1254	119
913	1255	118
914	1256	116
915	1257	115
916	1259	113
917	1260	112
918	1261	111
919	1262	109
920	1263	108
921	1264	106
922	1265	105
923	1267	104
924	1268	102
925	1269	101
926	1270	100
927	1271	98
928	1272	97
929	1273	95
930	1275	94
931	1276	93
932	1277	91
933	1278	90
934	1279	88
935	1280	87
936	1281	86
937	1283	84
938	1284	83
939	1285	82
940	1286	80
941	1287	79
942	1289	77
943	1290	76
944	1291	75
945	1292	73
946	1293	72
947	1294	71
948	1296	69
949	1297	68
950	1298	66
951	1299	65
952	1300	64
953	1301	62
954	1303	61
955	1304	60
956	1305	58
957	1306	57
958	1307	55
959	1308	54
960	1309	53
961	1319	52
962	1320	50
963	1321	49
964	1322	47
965	1324	46
966	1325	45
967	1326	43
968	1327	42
969	1328	41
970	1329	39
971	1330	38
972	1332	36
973	1333	35
974	1334	34
975	1335	32
976	1336	31
977	1337	30
978	1339	28
979	1340	27
980	1341	25
981	1342	24
982	1343	23
983	1345	21
984	1346	20
985	1347	19
986	1348	17
987	1349	16
988	1350	15
989	1351	13
990	1353	12
991	1354	10
992	1355	9
993	1356	8
994	1357	6
995	1358	5
996	1359	4
997	1361	2
998	1362	1
999	1363	0
